StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  6.95; quantity: 1; set: Future Sight; vendor: Gamers' Inn), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  6.95; quantity: 5; set: Future Sight; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  6.95; quantity: 5; set: Future Sight; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  7.75; quantity: 1; set: Future Sight; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  7.75; quantity: 2; set: Future Sight; vendor: Top Deck Hobbies), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  7.76; quantity: 1; set: Future Sight; vendor: AllCCG), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  7.99; quantity: 1; set: Future Sight; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  7.99; quantity: 1; set: Future Sight; vendor: Anthem Games), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  8.99; quantity: 5; set: Future Sight; vendor: adventuresON), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  9.49; quantity: 1; set: Future Sight; vendor: Matchplay), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  9.49; quantity: 1; set: Future Sight; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  9.62; quantity: 8; set: Future Sight; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  9.97; quantity: 1; set: Future Sight; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost:  9.99; quantity: 4; set: Future Sight; vendor: ABUGames), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost: 10.37; quantity: 12; set: Future Sight; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost: 11.61; quantity: 1; set: Future Sight; vendor: VolcanicMagic), 
StandardSupplyRecord(cardName: Akroma's Memorial; condition: Unplayed; cost: 11.99; quantity: 3; set: Future Sight; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.50; quantity: 8; set: Darksteel; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.53; quantity: 1; set: Darksteel; vendor: Game Cafe), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.66; quantity: 12; set: Darksteel; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.66; quantity: 1; set: Darksteel; vendor: VolcanicMagic), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.70; quantity: 2; set: Darksteel; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.96; quantity: 30; set: Darksteel; vendor: AllCCG), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.97; quantity: 11; set: Darksteel; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.98; quantity: 15; set: Darksteel; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.99; quantity: 12; set: Darksteel; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.99; quantity: 29; set: Darksteel; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.99; quantity: 42; set: Darksteel; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.99; quantity: 75; set: Darksteel; vendor: adventuresON), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 0.99; quantity: 8; set: Darksteel; vendor: ABUGames), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 1.00; quantity: 22; set: Darksteel; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 1.25; quantity: 20; set: Darksteel; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Arcbound Crusher; condition: Unplayed; cost: 1.49; quantity: 48; set: Darksteel; vendor: GamingETC), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.20; quantity: 5; set: Lorwyn; vendor: CoreTCG), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.20; quantity: 5; set: Lorwyn; vendor: Gamers' Inn), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.24; quantity: 7; set: Lorwyn; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.25; quantity: 21; set: Lorwyn; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.25; quantity: 2; set: Lorwyn; vendor: Ccg Bot), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.26; quantity: 12; set: Lorwyn; vendor: GamingETC), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.29; quantity: 47; set: Lorwyn; vendor: adventuresON), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.30; quantity: 53; set: Lorwyn; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.35; quantity: 13; set: Lorwyn; vendor: Comic Asylum), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.35; quantity: 3; set: Lorwyn; vendor: GameTimeCC), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.39; quantity: 6; set: Lorwyn; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.42; quantity: 4; set: Lorwyn; vendor: Game Cafe), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.43; quantity: 4; set: Lorwyn; vendor: StrikeZoneOnline), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.45; quantity: 9; set: Lorwyn; vendor: VolcanicMagic), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.49; quantity: 10; set: Lorwyn; vendor: ABUGames), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.49; quantity: 14; set: Lorwyn; vendor: MTGChicago), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.49; quantity: 1; set: Lorwyn; vendor: Ready To Play Games), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.49; quantity: 22; set: Lorwyn; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.49; quantity: 45; set: Lorwyn; vendor: ShuffleandCut), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.50; quantity: 10; set: Lorwyn; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.50; quantity: 42; set: Lorwyn; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.50; quantity: 4; set: Lorwyn; vendor: Tara Angel’s Magic ), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.54; quantity: 4; set: Lorwyn; vendor: GlobalMTG), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.59; quantity: 4; set: Lorwyn; vendor: TJ Collectibles), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.61; quantity: 3; set: Lorwyn; vendor: AllCCG), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.63; quantity: 66; set: Lorwyn; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.75; quantity: 12; set: Lorwyn; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.79; quantity: 39; set: Lorwyn; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Ashling the Pilgrim; condition: Unplayed; cost: 0.99; quantity: 8; set: Lorwyn; vendor: Anthem Games), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 0.99; quantity: 2; set: Lorwyn; vendor: ChannelFireball), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 0.99; quantity: 9; set: Lorwyn; vendor: Ready To Play Games), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.00; quantity: 4; set: Lorwyn; vendor: GameTimeCC), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.00; quantity: 9; set: Lorwyn; vendor: XtremeGames), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.11; quantity: 1; set: Lorwyn; vendor: VolcanicMagic), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.24; quantity: 12; set: Lorwyn; vendor: ABUGames), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.49; quantity: 4; set: Lorwyn; vendor: SuperGamesInc), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.49; quantity: 5; set: Lorwyn; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.59; quantity: 2; set: Lorwyn; vendor: TrollandToad), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.89; quantity: 3; set: Lorwyn; vendor: adventuresON), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.98; quantity: 4; set: Lorwyn; vendor: GlobalMTG), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.99; quantity: 14; set: Lorwyn; vendor: HotsauceGames), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.99; quantity: 5; set: Lorwyn; vendor: Matchplay), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.99; quantity: 6; set: Lorwyn; vendor: Alter Reality Games), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 1.99; quantity: 7; set: Lorwyn; vendor: MTGFanatic), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 2.08; quantity: 6; set: Lorwyn; vendor: CCGHouse), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 2.49; quantity: 12; set: Lorwyn; vendor: CoolStuffInc), 
StandardSupplyRecord(cardName: Austere Command; condition: Unplayed; cost: 2.50; quantity: 1; set: Lorwyn; vendor: Tara Angel’s Magic ), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.45; quantity: 27; set: Future Sight; vendor: Cape Fear Games), 
StandardSupplyRecord(cardName: Baru, Fist of Krosa; condition: Unplayed; cost: 0.45; quantity: 5; set: Future Sight; vendor: CoreTCG), 
