State,Class,Industry Group
02,0005,Goods and Services
02,0006,Goods and Services
02,0016,Goods and Services
02,0017,Goods and Services
02,0034,Goods and Services
02,0035,Goods and Services
02,0036,Goods and Services
02,0037,Goods and Services
02,0042,Contracting
02,0050,Contracting
02,0059,Manufacturing
02,0066,Manufacturing
02,0067,Manufacturing
02,0106,Miscellaneous
02,0251,Miscellaneous
02,0400,Goods and Services
02,0401,Goods and Services
02,0766,Manufacturing
02,0771,Manufacturing
02,0790,Miscellaneous
02,0908,Goods and Services
02,0913,Goods and Services
02,1005,Miscellaneous
02,1016,Miscellaneous
02,1164,Miscellaneous
02,1165,Miscellaneous
02,1320,Miscellaneous
02,1322,Contracting
02,1430,Manufacturing
02,1438,Manufacturing
02,1452,Manufacturing
02,1463,Manufacturing
02,1472,Manufacturing
02,1624,Miscellaneous
02,1642,Manufacturing
02,1654,Miscellaneous
02,1655,Miscellaneous
02,1699,Manufacturing
02,1701,Manufacturing
02,1710,Miscellaneous
02,1741,Manufacturing
02,1747,Manufacturing
02,1748,Manufacturing
02,1803,Manufacturing
02,1852,Manufacturing
02,1853,Manufacturing
02,1860,Manufacturing
02,1924,Manufacturing
02,1925,Manufacturing
02,2001,Manufacturing
02,2002,Manufacturing
02,2003,Manufacturing
02,2014,Manufacturing
02,2016,Manufacturing
02,2021,Manufacturing
02,2039,Manufacturing
02,2041,Manufacturing
02,2065,Manufacturing
02,2070,Manufacturing
02,2081,Manufacturing
02,2089,Manufacturing
02,2095,Manufacturing
02,2105,Manufacturing
02,2110,Manufacturing
02,2111,Manufacturing
02,2112,Manufacturing
02,2114,Manufacturing
02,2121,Manufacturing
02,2130,Manufacturing
02,2131,Manufacturing
02,2143,Manufacturing
02,2157,Manufacturing
02,2172,Manufacturing
02,2174,Manufacturing
02,2211,Manufacturing
02,2220,Manufacturing
02,2286,Manufacturing
02,2288,Manufacturing
02,2300,Manufacturing
02,2302,Manufacturing
02,2305,Manufacturing
02,2361,Manufacturing
